AR;Cidade;Código do Hawb;Data de Postagem;Data de Recebimento;Dias em transferência;Data Pre-Entrega(Lista);data SLA;Data Tentativa 1;Data do Último Status;Franquia Atual;Franquia de Destino;Franquia de Origem;Motivo de Devolução;Produto;Tipo de Baixa;Transfer;Transfer Esporádico;UF;Último Status
1328341414203-01;Vitória da Conquista;5316345371;03/05/2023 16:58;20/05/2023 11:58;13;;10/05/2023 23:59;19/05/2023 09:27;22/05/2023 16:36;VIC;VIC;SEI;A Pedido do Cliente;Standard;;1687173;;BA;Entrega NAO efetuada
1321131407383-01;Maceio;5223529183;31/03/2023 17:44;15/04/2023 15:39;11;17/04/2023 16:36;10/04/2023 23:59;17/04/2023 18:30;18/04/2023 10:18;DJR;DJR;SEI;;Standard;EWX;1667214;;AL;Em procedimento de retorno
1322801409034-01;Paulo Afonso;5243008272;06/04/2023 16:30;20/04/2023 10:11;11;20/04/2023 18:31;14/04/2023 23:59;20/04/2023 21:03;29/04/2023 12:00;PAF;PAF;SEI;;Standard;EWX;1681760;;BA;Em procedimento de retorno
1328271414103-01;Macapá;5316345417;03/05/2023 16:51;17/05/2023 15:13;11;18/05/2023 11:41;10/05/2023 23:59;18/05/2023 18:41;19/05/2023 17:18;MCP;MCP;SEI;;Standard;EWX;1679225;1683076;AP;Em procedimento de retorno
1328251414076-01;Manaus;5316345428;04/05/2023 15:42;18/05/2023 13:34;11;19/05/2023 13:58;11/05/2023 23:59;19/05/2023 21:56;20/05/2023 21:41;MNA;MNA;SEI;;Standard;EWX;1680885;1685895;AM;Em procedimento de retorno
1329211414871-01;Gandu;5322573223;03/05/2023 16:52;17/05/2023 00:07;11;17/05/2023 15:05;10/05/2023 23:59;19/05/2023 00:21;22/05/2023 08:19;TEO;TEO;SEI;;Standard;EWX;1688939;1681189;BA;Ciclo Operacional Encerrado
1324421410833-01;São Luís;5262449304;13/04/2023 17:54;26/04/2023 15:19;10;27/04/2023 14:34;20/04/2023 23:59;27/04/2023 17:56;28/04/2023 15:19;SIS;SIS;SEI;;Standard;EWX;1660122;;MA;Em procedimento de retorno
1330411415988-01;Lauro de Freitas;5337144878;09/05/2023 15:49;22/05/2023 08:51;10;22/05/2023 10:47;16/05/2023 23:59;;22/05/2023 10:51;SLF;SLF;SEI;;Standard;EWX;1686368;1692126;BA;Entrega registrada via RT
1321851407900-01;Eunápolis;5229896718;03/04/2023 16:31;13/04/2023 17:52;9;16/04/2023 14:18;11/04/2023 23:59;17/04/2023 20:16;30/04/2023 16:21;EUN;EUN;SEI;;Standard;EWX;1649770;;BA;Em procedimento de retorno
1325091411364-01;Porto Seguro;5272155660;17/04/2023 15:55;27/04/2023 19:15;9;28/04/2023 10:14;25/04/2023 23:59;28/04/2023 19:22;30/04/2023 15:13;PSG;PSG;SEI;;Standard;EWX;1667297;;BA;Em procedimento de retorno
